20	95	2
20	17	2
56	31	1
3	38	2
66	39	1
37	80	2
92	99	2
44	20	2
38	13	2
47	48	1
56	69	1
98	99	2
42	87	2
92	66	2
19	2	2
37	33	1
31	52	1
4	82	2
22	47	2
87	91	2
13	22	2
45	86	2
32	58	1
53	20	2
11	10	2
37	34	1
69	96	2
79	14	2
81	27	2
98	29	2
43	66	1
4	27	2
68	36	1
28	82	2
5	83	2
34	69	1
52	36	1
14	37	2
41	9	2
91	11	2
71	53	1
78	47	2
42	49	1
39	94	2
66	82	2
66	17	2
61	6	2
69	94	2
52	29	1
24	37	2
55	57	1
41	45	1
22	61	2
54	20	2
73	67	2
80	48	2
66	65	1
12	74	2
82	3	2
32	95	2
24	77	2
51	37	1
55	26	1
35	13	2
76	34	2
47	93	2
37	20	2
59	26	2
66	42	1
45	83	2
13	11	2
98	25	2
86	25	2
79	61	2
84	89	2
22	88	2
33	42	1
1	35	2
61	20	2
89	60	2
8	66	2
50	45	1
17	52	2
35	63	1
25	91	2
88	1	2
31	89	2
49	94	2
56	1	2
87	40	2
41	18	2
39	48	1
63	3	2
65	48	1
43	69	1
99	70	2
46	47	1
66	42	1
80	51	2
12	76	2
77	10	2
2	36	2
79	1	2
64	3	2
28	1	2
98	22	2
9	25	2
59	61	1
91	60	2
80	32	2
22	95	2
15	91	2
85	2	2
30	24	2
16	40	2
44	2	2
98	20	2
66	87	2
34	4	2
60	9	2
32	71	2
72	75	2
19	14	2
33	25	2
36	20	2
31	77	2
14	88	2
54	17	2
62	14	2
33	44	1
39	36	1
16	54	2
10	34	2
82	2	2
65	38	1
82	99	2
52	71	1
86	69	2
37	65	1
58	93	2
95	35	2
83	17	2
40	8	2
77	62	2
49	99	2
10	65	2
56	61	1
73	71	2
36	34	1
83	55	2
46	80	2
78	29	2
27	48	1
90	21	2
97	64	2
50	6	2
12	12	2
56	23	2
84	1	2
16	53	2
3	70	2
81	45	2
98	63	2
86	74	2
20	32	2
39	40	1
7	13	2
14	25	2
17	54	2
41	90	2
97	58	2
28	37	2
21	97	2
70	95	2
65	76	2
72	74	2
37	38	1
60	61	1
80	34	2
76	46	2
41	57	1
9	56	2
60	27	2
95	99	2
97	75	2
87	17	2
57	9	2
42	36	1
35	41	1
30	78	2
75	5	2
58	52	1
85	51	2
42	13	2
89	19	2
56	56	1
87	53	2
79	99	2
58	16	2
14	63	2
6	80	2
27	27	2
74	49	1
79	9	2
41	3	2
49	36	1
40	97	2
82	96	2
71	35	2
90	48	2
1	85	2
47	25	2
95	15	2
65	43	1
43	45	1
21	12	2
30	10	2
36	57	1
97	86	2
26	84	2
28	48	1
3	12	2
61	97	2
51	30	1
40	77	2
61	58	1
34	42	1
95	13	2
94	31	2
69	10	2
59	42	1
16	38	2
1	99	2
29	2	2
11	97	2
21	13	2
48	73	1
80	16	2
57	87	2
15	11	2
80	40	2
94	82	2
71	29	2
98	85	2
14	8	2
28	95	2
85	65	2
53	42	1
76	74	2
90	86	2
31	45	1
80	14	2
22	11	2
85	10	2
50	7	2
35	45	1
32	4	2
41	10	2
21	40	2
77	49	2
20	35	2
95	33	2
52	53	1
98	29	2
75	12	2
73	32	2
21	57	2
29	60	1
53	34	1
77	5	2
3	47	2
34	74	2
42	69	1
45	24	2
22	86	2
60	71	1
3	63	2
71	23	2
81	2	2
83	6	2
17	61	2
81	53	2
57	33	1
8	65	2
4	91	2
13	37	2
92	91	2
71	42	1
30	69	2
31	17	2
89	15	2
71	45	1
69	68	2
17	54	2
96	55	2
76	52	2
58	66	1
8	89	2
23	34	2
21	36	2
31	48	1
5	58	2
31	73	2
94	18	2
50	23	2
12	98	2
54	71	1
58	47	1
40	49	1
42	73	1
67	29	2
21	4	2
93	10	2
91	63	2
85	37	2
93	7	2
51	55	1
33	45	1
37	18	2
68	15	2
31	22	2
7	40	2
77	93	2
23	34	2
85	24	2
81	93	2
9	83	2
8	66	2
59	74	2
10	58	2
93	22	2
33	84	2
67	16	2
3	88	2
42	29	1
69	77	2
19	59	2
9	48	2
70	93	2
91	71	2
75	38	2
21	50	2
28	1	2
46	87	2
10	53	2
25	71	2
13	88	2
27	87	2
11	16	2
86	62	2
27	58	1
52	83	2
67	71	2
36	26	2
65	23	2
80	81	2
52	1	2
9	24	2
8	72	2
51	68	1
89	36	2
49	63	1
69	27	2
92	49	2
73	98	2
25	63	2
12	32	2
52	80	2
96	21	2
92	12	2
61	31	1
19	39	2
20	38	2
24	38	2
41	86	2
37	33	1
64	45	1
41	84	2
85	31	2
86	69	2
32	97	2
12	85	2
85	57	2
37	16	2
99	62	2
50	89	2
33	51	1
44	59	1
99	12	2
81	70	2
5	30	2
76	85	2
27	9	2
99	15	2
94	7	2
4	92	2
34	62	1
36	86	2
35	20	2
56	30	1
